@relation Diamantes

@attribute carat numeric
@attribute cut {Ideal,Premium,Good,Very_Good,Fair}
@attribute color {E,I,J,H,F,G,D}
@attribute clarity {SI2,SI1,VS1,VS2,VVS2,VVS1,I1,IF}
@attribute price {300-699,1000-4999,5000-9999,10000+,700-999}

@data
0.23,Very_Good,H,IF,300-699
0.23,Fair,G,VVS2,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Good,D,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Good,F,VVS1,300-699
0.23,Good,E,VVS1,300-699
0.23,Good,F,VVS2,300-699
0.23,Good,E,VVS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Good,E,VVS2,300-699
0.23,Very_Good,D,VS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Very_Good,D,VS1,300-699
0.23,Good,E,VS1,300-699
0.23,Ideal,G,SI1,300-699
0.23,Good,F,VS1,300-699
0.23,Very_Good,H,VVS2,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Good,E,VVS2,300-699
0.23,Good,F,VVS1,300-699
0.23,Good,E,VVS1,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Good,D,VVS1,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Very_Good,G,VVS1,300-699
0.23,Very_Good,G,VVS1,300-699
0.23,Ideal,H,VVS1,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Very_Good,F,IF,300-699
0.23,Good,E,VVS2,300-699
0.23,Ideal,G,VS1,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Very_Good,E,IF,300-699
0.23,Ideal,F,VS2,300-699
0.23,Ideal,F,VS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Ideal,F,VS2,300-699
0.23,Ideal,F,VS2,300-699
0.23,Ideal,F,VS2,300-699
0.23,Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Premium,H,VVS2,300-699
0.23,Very_Good,H,VVS2,300-699
0.23,Very_Good,G,VS1,300-699
0.23,Very_Good,E,VS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Ideal,F,VVS1,300-699
0.23,Good,F,VVS2,300-699
0.23,Good,E,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,H,VS2,300-699
0.23,Premium,E,VS2,300-699
0.23,Premium,E,VS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Good,G,VVS1,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,F,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,F,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Very_Good,D,VVS1,300-699
0.23,Very_Good,F,IF,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,E,VVS2,300-699
0.23,Ideal,E,VVS2,300-699
0.23,Ideal,D,VVS2,300-699
0.23,Ideal,F,VVS1,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS1,300-699
0.23,Very_Good,E,VVS2,300-699
0.23,Good,E,VVS2,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Premium,G,VVS1,300-699
0.23,Ideal,G,VVS1,300-699
0.23,Ideal,G,VVS1,300-699
0.23,Ideal,G,VVS1,300-699
0.23,Ideal,G,IF,300-699
0.23,Ideal,G,IF,300-699
0.23,Ideal,G,IF,300-699
0.23,Good,G,VVS2,300-699
0.23,Ideal,F,VVS2,300-699
0.23,Ideal,E,VS2,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Premium,E,VS1,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Very_Good,D,VS2,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Very_Good,E,VS2,300-699
0.23,Very_Good,F,VS2,300-699
0.23,Very_Good,F,VS2,300-699
0.23,Very_Good,F,VS2,300-699
0.23,Very_Good,F,VS2,300-699
0.23,Very_Good,F,VS2,300-699
0.23,Very_Good,F,VS1,300-699
0.23,Ideal,E,VS2,300-699
0.23,Ideal,E,VS2,300-699
0.23,Ideal,F,VS1,300-699
0.23,Ideal,F,VS1,300-699
0.23,Very_Good,D,VVS2,300-699
0.23,Premium,G,VVS2,300-699
0.24,Very_Good,J,VVS2,300-699
0.24,Very_Good,I,VVS1,300-699
0.24,Premium,I,VS1,300-699
0.24,Very_Good,F,SI1,300-699
0.24,Premium,E,VVS1,300-699
0.24,Very_Good,D,VVS1,300-699
0.24,Premium,G,VVS1,300-699
0.24,Premium,H,VVS1,300-699
0.24,Premium,H,VVS1,300-699
0.24,Premium,H,VVS2,300-699
0.24,Ideal,G,VVS1,300-699
0.24,Ideal,G,VVS1,300-699
0.24,Ideal,G,VVS1,300-699
0.24,Ideal,G,VVS1,300-699
0.24,Ideal,G,VVS1,300-699
0.24,Ideal,G,IF,300-699
0.24,Ideal,G,IF,300-699
0.24,Ideal,G,IF,300-699
0.24,Ideal,G,IF,300-699
0.24,Ideal,G,IF,300-699
0.24,Ideal,F,VS2,300-699
0.24,Very_Good,E,SI1,300-699
0.24,Ideal,F,VS1,300-699
0.24,Ideal,F,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Premium,E,VS2,300-699
0.24,Ideal,F,VS2,300-699
0.24,Very_Good,D,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Very_Good,D,VS1,300-699
0.24,Very_Good,D,VS1,300-699
0.24,Very_Good,D,VS1,300-699
0.24,Ideal,F,VS2,300-699
0.24,Ideal,F,VS2,300-699
0.24,Ideal,F,VS1,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Ideal,G,SI1,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,D,VS1,300-699
0.24,Ideal,I,VS1,300-699
0.24,Ideal,I,VVS1,300-699
0.24,Ideal,J,VVS2,300-699
0.24,Premium,H,VVS1,300-699
0.24,Very_Good,H,VVS2,300-699
0.24,Premium,E,VVS1,300-699
0.24,Premium,E,VVS1,300-699
0.24,Premium,D,VVS2,300-699
0.24,Premium,D,VVS2,300-699
0.24,Premium,H,VVS1,300-699
0.24,Very_Good,G,VVS1,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,E,VVS2,300-699
0.24,Ideal,E,VVS2,300-699
0.24,Ideal,F,VVS1,300-699
0.24,Ideal,F,VVS1,300-699
0.24,Ideal,F,VVS1,300-699
0.24,Ideal,E,VVS1,300-699
0.24,Ideal,E,VVS1,300-699
0.24,Ideal,F,IF,300-699
0.24,Ideal,F,IF,300-699
0.24,Ideal,F,IF,300-699
0.24,Ideal,F,IF,300-699
0.24,Ideal,D,VS1,300-699
0.24,Ideal,G,VS1,300-699
0.24,Ideal,H,VVS2,300-699
0.24,Ideal,G,VS1,300-699
0.24,Premium,E,VVS1,700-999
0.24,Premium,D,VVS1,700-999
0.24,Very_Good,H,VVS2,300-699
0.24,Very_Good,H,VVS2,300-699
0.24,Very_Good,H,VVS2,300-699
0.24,Very_Good,H,VVS2,300-699
0.24,Very_Good,G,VVS2,300-699
0.24,Very_Good,G,VVS2,300-699
0.24,Very_Good,G,VVS2,300-699
0.24,Very_Good,H,VVS1,300-699
0.24,Very_Good,H,VVS1,300-699
0.24,Very_Good,H,IF,300-699
0.24,Ideal,H,VVS1,300-699
0.24,Ideal,E,VVS1,700-999
0.24,Very_Good,F,SI1,300-699
0.24,Very_Good,D,VS2,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,E,VS2,300-699
0.24,Very_Good,F,VS2,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Good,F,VS1,300-699
0.24,Good,F,VS1,300-699
0.24,Very_Good,E,VS1,300-699
0.24,Good,E,VS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Good,F,VVS2,300-699
0.24,Very_Good,D,SI1,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,D,VVS1,300-699
0.24,Ideal,F,VVS1,700-999
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Premium,D,VS2,300-699
0.24,Ideal,E,SI1,300-699
0.24,Good,F,VS1,300-699
0.24,Ideal,G,VS1,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,D,VVS1,300-699
0.24,Good,F,VVS2,300-699
0.24,Good,E,VVS2,300-699
0.24,Good,F,VVS1,300-699
0.24,Good,E,VVS1,300-699
0.24,Good,F,IF,300-699
0.24,Ideal,G,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Good,E,VVS1,300-699
0.24,Very_Good,G,VS1,300-699
0.24,Very_Good,G,VS1,300-699
0.24,Ideal,H,VS2,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,F,VS1,300-699
0.24,Very_Good,G,VVS1,300-699
0.24,Ideal,H,VVS2,300-699
0.24,Ideal,H,VVS1,300-699
0.24,Ideal,H,VVS1,300-699
0.24,Ideal,H,IF,300-699
0.24,Ideal,H,IF,300-699
0.24,Ideal,H,IF,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Ideal,I,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,E,VVS2,300-699
0.24,Ideal,E,VVS2,300-699
0.24,Ideal,D,VVS2,300-699
0.24,Ideal,F,VVS1,300-699
0.24,Good,E,VVS1,300-699
0.24,Very_Good,I,VS1,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Ideal,F,VS1,300-699
0.24,Ideal,F,VS2,300-699
0.24,Premium,E,VS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Good,F,VS1,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,F,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,E,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,D,VVS2,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,F,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,E,VVS1,300-699
0.24,Very_Good,F,IF,300-699
0.24,Very_Good,F,IF,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Ideal,F,VVS2,300-699
0.24,Good,F,VVS1,300-699
0.25,Very_Good,E,VS2,300-699
0.25,Premium,F,VS1,300-699
0.25,Good,F,VS1,300-699
0.25,Premium,E,VS1,300-699
0.25,Premium,E,VS1,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,F,IF,300-699
0.25,Fair,D,VS1,300-699
0.25,Very_Good,G,VS2,300-699
0.25,Very_Good,G,VS2,300-699
0.25,Ideal,G,SI1,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,E,VVS2,300-699
0.25,Very_Good,D,VVS2,300-699
0.25,Very_Good,D,VVS2,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Ideal,F,VVS1,300-699
0.25,Good,E,VVS1,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Premium,E,VVS1,300-699
0.25,Ideal,E,VVS1,300-699
0.25,Premium,E,VVS2,300-699
0.25,Premium,E,VVS2,300-699
0.25,Ideal,E,VVS2,300-699
0.25,Premium,E,VVS2,300-699
0.25,Premium,F,IF,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Premium,E,VVS2,300-699
0.25,Good,E,VVS2,300-699
0.25,Ideal,E,VVS2,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,E,VS2,300-699
0.25,Very_Good,D,VS1,300-699
0.25,Ideal,H,VVS1,300-699
0.25,Premium,H,VVS1,300-699
0.25,Premium,H,VVS1,300-699
0.25,Premium,H,VVS1,300-699
0.25,Ideal,G,VVS1,300-699
0.25,Ideal,G,VVS1,300-699
0.25,Ideal,G,VVS1,300-699
0.25,Ideal,G,IF,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Ideal,F,VS1,300-699
0.25,Ideal,F,VS1,300-699
0.25,Ideal,F,VS1,300-699
0.25,Ideal,I,VVS1,300-699
0.25,Ideal,G,IF,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS2,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Very_Good,F,VVS1,300-699
0.25,Very_Good,E,VVS1,300-699
0.25,Very_Good,F,IF,300-699
0.25,Very_Good,E,IF,300-699
0.25,Ideal,E,VVS2,300-699
0.25,Ideal,H,VS1,300-699
0.25,Ideal,F,SI1,300-699
0.25,Ideal,F,SI1,300-699
0.25,Ideal,H,VS1,300-699
0.25,Ideal,H,SI1,300-699
0.25,Good,E,VS1,300-699
0.25,Fair,E,VS1,300-699
0.25,Ideal,G,SI1,300-699
0.25,Very_Good,F,VS1,300-699
0.25,Premium,E,VS1,300-699
0.25,Premium,E,VS1,300-699
0.25,Good,F,VS1,300-699
0.25,Very_Good,E,VS2,300-699
0.25,Very_Good,F,VS1,300-699
0.25,Very_Good,D,VVS2,300-699
0.25,Very_Good,F,VS1,300-699
0.25,Very_Good,F,VS1,300-699
0.25,Very_Good,E,VS1,300-699
0.25,Very_Good,D,VS1,300-699
0.25,Ideal,F,VS2,300-699
0.25,Ideal,F,VS1,300-699
0.25,Ideal,G,VS1,300-699
0.25,Ideal,G,VS1,300-699
0.25,Ideal,G,VS1,300-699
0.25,Ideal,G,VS1,300-699
0.25,Ideal,F,VVS2,700-999
0.25,Ideal,E,VVS2,700-999
0.25,Ideal,F,VVS1,700-999
0.25,Ideal,E,VVS1,700-999
0.25,Ideal,H,VS1,300-699
0.25,Ideal,H,VS1,300-699
0.25,Ideal,F,IF,700-999
0.25,Premium,F,VVS2,700-999
